entity_name,fatal_accidents,serious_accidents,killed_bg_male,killed_bg_female,killed_oc_male,killed_oc_female,killed_ag_male,killed_ag_female,killed_total_male,killed_total_female,injured_bg_male,injured_bg_female,injured_oc_male,injured_oc_female,injured_ag_male,injured_ag_female,injured_total_male,injured_total_female
TOTAL : MADHYA PRADESH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
BHANDARA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TOTAL : MAHARASHTRA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALL INDIA : MANGANESE,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RAJSAMAND,8,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
TOTAL : RAJASTHAN,8,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
ALL INDIA : MARBLE,8,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
NAGAUR,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TOTAL : RAJASTHAN,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ALL INDIA : SANDSTONE,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
KARAULI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TOTAL : RAJASTHAN,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ALL INDIA : SILICA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
KOLLAM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
TOTAL : KERALA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ALL INDIA : SILLIMANITE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
GUNTUR,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
TOTAL : ANDHRA PRADESH,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
SONEBHADRA,5,0,0,0,5,0,0,0,5,0,0,0,1,0,0,0,1,0
TOTAL : UTTAR PRADESH,5,0,0,0,5,0,0,0,5,0,0,0,1,0,0,0,1,0
ALL INDIA : STONE,6,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,1,0
ALL INDIA : ALL NON-COAL MINERALS,45,35,4,0,34,0,0,0,10,0,9,0,0,0,32,0,51,0
